4.400	The problem likely will mean corrective changes before the shuttle fleet starts flying again.	He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again.
4.750	Let me remind you that our allies include fervent supporters of this tax.	I want to remind you that of our allies, it is of major of tax.
5.000	Maij-Weggen report (A5-0323/2000)	Maij-Weggen report (A5-0323 / 2000)
5.000	The leaders have now been given a new chance and let us hope they seize it.	The leaders now have another chance to let them and therefore seize it.
4.500	I am one of those Members who attends sittings quite faithfully.	I form part of the members of Parliament who are rather honourably present.
4.500	We often pontificate here about being the representatives of the citizens of Europe.	We often enorgueillissons ourselves here to represent the European citizens.
5.000	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summarised as follows: the citizens on bureaucracy.
4.500	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment 7 changes in references to paragraphs.
4.750	The European Union has got to do something and do it quickly.	It is appropriate that the European Union means and that it should do so quickly.
4.250	Let me remind you that our allies include fervent supporters of this tax.	I am anxious to recall you that among our allies, there is fervent of this tax.
4.250	Selective aid, such as market support and a grass subsidy, are essential.	Punctual help as the support of the market or the bonus at the grass is essential.
5.000	It is our job to continue to support Latvia with the integration of the Russian population.	It is our duty to continue to support Latvia on the issue of the integration of the Russian population.
4.750	Let me remind you that our allies include fervent supporters of this tax.	I would remind you that our allies, devotees of this tax.
5.000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment No 7 is proposing certain changes in the references to paragraphs.
4.000	The leaders have now been given a new chance and let us hope they seize it.	The leaders are today a new chance and thus let.
4.750	Neither was there a qualified majority within this House to revert to Article 272.	There did not exist either of majority qualified within this Parliament to return in article 272.
5.000	The vote will take place today at 5.30 p.m.	The vote will take place at 17h30.
4.250	We often pontificate here about being the representatives of the citizens of Europe.	We are proud often of representing the European citizens here.
4.167	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We maintain unanimity in the Council and therefore a latent inability to act.
4.750	Maij-Weggen report (A5-0323/2000)	Report maij-weggen (A5-0323/2000)
4.250	Unfortunately, others separate on the basis of accumulated hatred.	Others separate unfortunately because of an accumulated resentment.
5.000	(Parliament adopted the legislative resolution)	, The Parliament adopted the legislative resolution --
4.500	Selective aid, such as market support and a grass subsidy, are essential.	Specific aid, support or market at grass is essential.
4.500	Selective aid, such as market support and a grass subsidy, are essential.	Support specific as the support of the market or the premium to the grass is necessary.
4.250	Selective aid, such as market support and a grass subsidy, are essential.	Punctual assistance as the support of the market or the premium to grass is essential.
3.833	We often pontificate here about being the representatives of the citizens of Europe.	We often take pride here to represent the citizens of Europe.
4.000	Unfortunately, others separate on the basis of accumulated hatred.	Other divide unfortunately because of a grudge accumulated.
4.750	Let me remind you that our allies include fervent supporters of this tax.	I would like to remind you that among our allies, there are enthusiasts of this tax.
4.750	Van Orden Report (A5-0241/2000)	Report Van Orden (A5-0241/2000)
4.167	I am one of those Members who attends sittings quite faithfully.	I am one of the Members who are quite honourably here.
4.571	The standards are scarcely comparable, let alone transferable.	The standards are hardly comparable and even less transferable.
4.000	Unfortunately, others separate on the basis of accumulated hatred.	Other divide unfortunately because of a grudge accumulated.
5.000	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summed up in a few words: the power of citizens on bureaucracy.
4.750	It increases the power of the big countries at the expense of the small countries.	That has as effect to increase the power of the great countries to the detriment of the small ones.
4.250	Unfortunately, others separate on the basis of accumulated hatred.	Others are parting unfortunately because of a rancune gained.
4.250	Unfortunately, others separate on the basis of accumulated hatred.	Other divide unfortunately due to a accumulated ill-will.
3.750	Unfortunately, others separate on the basis of accumulated hatred.	Other diverge unfortunately owing to an accumulated vengeance.
4.500	Let me remind you that our allies include fervent supporters of this tax.	I would like to remind you that among our allies, there are ardent supporters of this tax.
4.750	Selective aid, such as market support and a grass subsidy, are essential.	Specific aid as the support of the market or the premium on grass are essential.
5.000	The leaders have now been given a new chance and let us hope they seize it.	The leaders now have a new chance and let them therefore seize it.
5.000	That provision could open the door wide to arbitrariness.	This point of the regulation opens the door to the arbitrary.
4.500	Unfortunately, others separate on the basis of accumulated hatred.	Other separate unfortunately because of resentment accumulated.
4.500	Neither was there a qualified majority within this House to revert to Article 272.	There was not majority qualified within this Parliament to bring back to the article 272 either.
4.250	Unfortunately, others separate on the basis of accumulated hatred.	Others unfortunately diverge in response to rancune gained.
5.000	The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed.
4.750	Mr President, I rise in defence of the workers in the industry.	Mr President, I wish to take the protection of workers of the sector.
4.750	The vote will take place today at 5.30 p.m.	The vote will take place on 17: 30.
4.714	The standards are scarcely comparable, let alone transferable.	The standards are hardly comparable and still less transferable.
5.000	It increases the power of the big countries at the expense of the small countries.	It has to effect of increasing the power of the large countries to the detriment of small.
4.000	Then perhaps we could have avoided a catastrophe.	We could perhaps have been able to prevent a disaster.
4.667	There must be a balance as a whole.	The whole must be in balance.
4.250	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained to us at second reading, a crisis is at the root of this amendment to Directive.
5.000	Neither was there a qualified majority within this House to revert to Article 272.	There was no qualified majority in this Parliament to go back to Article 272.
5.000	It increases the power of the big countries at the expense of the small countries.	This is to increase the power of the large countries at the expense of small.
4.667	Mr President, I rise in defence of the workers in the industry.	Mr President, I would like to take the defence of workers in this sector.
4.800	There must be a balance as a whole.	All must be balanced.
4.750	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users will be the losers, with the employees, and European competitiveness and the growth will regress.
4.571	The standards are scarcely comparable, let alone transferable.	The standards are hardly comparable and even less transferable.
4.333	Unfortunately, others separate on the basis of accumulated hatred.	Others separate themselves unfortunately because of an amassed grudge.
4.667	The fishermen are inactive, tired and disappointed.	Fishermen are inactive, tired and disappointed.
5.000	The European Union has got to do something and do it quickly.	The European Union must be involved and do so quickly.
3.714	Then perhaps we could have avoided a catastrophe.	We might then have to avoid a disaster.
4.250	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	Users will be the losers, with the employees, and the competitiveness and European growth régresseront.
1.500	That provision could open the door wide to arbitrariness.	This paves the way for the of the Rules of Procedure here.
4.750	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already said in the second reading, a crisis is at the basis of this amendment of directive.
5.000	(Parliament adopted the legislative resolution)	In particular Parliament adopted the legislative resolution)
4.500	Let me remind you that our allies include fervent supporters of this tax.	I would like to remind you that among our allies, there are ardent supporters of this tax.
5.000	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained in second reading, a crisis is at the basis of this modification of directive.
5.000	It is our job to continue to support Latvia with the integration of the Russian population.	It is our duty to continue to support Latvia on the issue of the integration of the Russian population.
5.000	The European Union has got to do something and do it quickly.	It is important that the European Union itself and to do it quickly.
4.750	It increases the power of the big countries at the expense of the small countries.	This has the effect of increasing the power of the large countries to the detriment of small.
4.167	I am one of those Members who attends sittings quite faithfully.	I am one of the Members who are quite honourably here.
5.000	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained in second reading, a crisis is to the basis of this amendment of the directive.
4.600	Then perhaps we could have avoided a catastrophe.	Then we might have been able to avoid a disaster.
4.714	The standards are scarcely comparable, let alone transferable.	The standards are hardly comparable and still less transferable.
3.750	Tunisia	Tunisia was
5.000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment No 7 is proposing certain changes in the references to paragraphs.
5.000	Amendment No 7 proposes certain changes in the references to paragraphs.	The amendment 7 proposes some modifications in the references to the paragraphs.
5.000	Thank you, Commissioner.	Thank you, Mr Commissioner.
5.000	The European Union has got to do something and do it quickly.	It is important that the European Union to be involved and to do it quickly.
4.667	There must be a balance as a whole.	The whole must be in balance.
4.800	Unfortunately, others separate on the basis of accumulated hatred.	Other separate unfortunately because of a grudge accumulated.
3.000	Van Orden Report (A5-0241/2000)	Relation Horse-Trailer Orden (A5-0241/2000)
4.500	The leaders have now been given a new chance and let us hope they seize it.	The leaders are today of a new chance and therefore let us take it.
5.000	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summarized briefly: the power of the people on bureaucracy.
5.000	(Parliament adopted the legislative resolution)	(Parliament adopted the legislative resolution)
4.500	The European Union has got to do something and do it quickly.	It is appropriate that the European Union is and what it implies does it quickly.
4.500	It is our job to continue to support Latvia with the integration of the Russian population.	It is our duty to continue to press for Latvia on the issue of the integration of the Russian people.
4.167	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We maintain unanimity in the Council and therefore a latent inability to act.
5.000	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained at second reading, a crisis is at the root of this amendment to Directive.
4.750	The standards are scarcely comparable, let alone transferable.	The standards are to death similar and even less transferable.
5.000	The European Union has got to do something and do it quickly.	It is necessary that the European Union gets involved and that it makes it fast.
5.000	It increases the power of the big countries at the expense of the small countries.	Has the effect of increasing the power of the large countries at the expense of the smaller countries.
3.750	There must be a balance as a whole.	The together must be in balance.
4.429	The vote will take place today at 5.30 p.m.	The vote will take place at 5.30 p.m.
5.000	It is our job to continue to support Latvia with the integration of the Russian population.	It is our duty to continue to support Latvia on the issue of the integration of the Russian population.
3.833	We often pontificate here about being the representatives of the citizens of Europe.	We often take pride here to represent the citizens of Europe.
5.000	Thank you, Commissioner.	Thank you, Commissioner.
5.000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment No 7 proposes certain changes in the references to paragraphs.
4.000	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We preserve the unanimity at the Council and thus a latent incapacity to act.
4.000	There must be a balance as a whole.	The unity must be in balance.
4.429	The vote will take place today at 5.30 p.m.	The vote will take place at 5.30 p.m.
4.750	Maij-Weggen report (A5-0323/2000)	Mrs Maij-Weggen report (A5-0323 / 2000)
4.250	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	Users are the losers, with workers and European competitiveness and innovation régresseront.
4.000	Then perhaps we could have avoided a catastrophe.	We would perhaps have been able to prevent a disaster.
4.800	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summarised in a few words: the power of citizens on bureaucracy.
4.800	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained it in second reading, a crisis is at the base of this modification of directive.
4.000	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have explained, a crisis at second reading is the basis of amendment of the directive.
4.000	We often pontificate here about being the representatives of the citizens of Europe.	We enorgueillissons ourselves often here to represent the European citizens.
4.667	There must be a balance as a whole.	The whole must be in balance.
5.000	Maij-Weggen report (A5-0323/2000)	Maij-Weggen report (A5-0323 / 2000)
4.750	It increases the power of the big countries at the expense of the small countries.	That causes to increase the power of the large countries to the detriment of small.
5.000	It is our job to continue to support Latvia with the integration of the Russian population.	It is our duty to continue to support Latvia on the question of the integration of the Russian population.
4.750	That provision could open the door wide to arbitrariness.	This point of procedure opens the door to the arbitrary.
5.000	Neither was there a qualified majority within this House to revert to Article 272.	There was no qualified majority in this Parliament to go back to Article 272.
4.400	Selective aid, such as market support and a grass subsidy, are essential.	Specific aid as the market or the premium on grass are essential.
5.000	It is our job to continue to support Latvia with the integration of the Russian population.	It is our duty of continue to support the Latvia on the issue of the integration of the russian people.
5.000	The vote will take place today at 5.30 p.m.	The vote will take place at 17h30.
5.000	Then perhaps we could have avoided a catastrophe.	We could perhaps then have avoided a catastrophe.
5.000	Tunisia	Tunisia
4.714	The standards are scarcely comparable, let alone transferable.	The standards are hardly comparable and still less transferable.
3.714	Then perhaps we could have avoided a catastrophe.	We might then have to avoid a disaster.
4.250	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We keep unanimity in Council and therefore a latent incapacity to act.
4.750	Neither was there a qualified majority within this House to revert to Article 272.	It did not exist either qualified majority in this Parliament to return to article 272.
4.000	Then perhaps we could have avoided a catastrophe.	We would maybe then have been able to avoid a disaster.
4.000	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	Consumers will be the losers, with workers and competitiveness and growth regress.
5.000	Thank you, Commissioner.	Thank you, Commissioner.
4.600	Then perhaps we could have avoided a catastrophe.	Then we might have been able to avoid a disaster.
5.000	The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed.
5.000	Van Orden Report (A5-0241/2000)	Van Orden report (A5-0241 / 2000)
5.000	Tunisia	Tunisia
3.750	We often pontificate here about being the representatives of the citizens of Europe.	We are often here to represent the citizens of Europe.
5.000	Thank you, Commissioner.	Thank you, Commissioner.
4.750	It increases the power of the big countries at the expense of the small countries.	It has the effect of increasing the power of the large countries, to the detriment of the small ones.
4.167	I am one of those Members who attends sittings quite faithfully.	I am one of the Members who are quite honourably here.
4.500	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users will be the losers, with the employees, and the competitiveness and growth regress.
5.000	Neither was there a qualified majority within this House to revert to Article 272.	There was no qualified majority in this Parliament to go back to Article 272.
5.000	(Parliament adopted the legislative resolution)	(Parliament adopted the legislative resolution)
4.571	The standards are scarcely comparable, let alone transferable.	The standards are hardly comparable and even less transferable.
4.250	I am one of those Members who attends sittings quite faithfully.	I am one of the Members who are rather present.
4.000	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We preserve the unanimity to the Advice and therefore a latent inability to act.
5.000	Van Orden Report (A5-0241/2000)	Van Orden report (A5-0241 / 2000)
3.000	The European Union has got to do something and do it quickly.	It suits that the European Union is implied and that it makesit rapidly.
2.750	We often pontificate here about being the representatives of the citizens of Europe.	We are often here to represent the European citizens.
5.000	The fishermen are inactive, tired and disappointed.	The fishermen are idle, tired and disappointed.
5.000	The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed.
5.000	Thank you, Commissioner.	Thank you, Mr Commissioner.
4.000	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	Users will be the losers, with employees, and European competitiveness and growth Régresseront.
4.500	The standards are scarcely comparable, let alone transferable.	The norms are hardly comparable and still less transferable.
4.500	Let me remind you that our allies include fervent supporters of this tax.	I want to remind you that of our allies, it is of much of this tax.
5.000	That provision could open the door wide to arbitrariness.	This point of the regulations opens the door to the arbitrary one.
2.750	Maij-Weggen report (A5-0323/2000)	Mrs Maij-Weggen's report (5 / 2000)
4.750	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summed up in a few words: the power of the citizens on the bureaucracy.
5.000	That provision could open the door wide to arbitrariness.	This point of the regulations opens the door to arbitrary power.
4.167	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We maintain unanimity in the Council and therefore a latent inability to act.
4.250	Selective aid, such as market support and a grass subsidy, are essential.	A specific aid as the support of the market or the premium on grass are essential.
4.500	That provision could open the door wide to arbitrariness.	This Regulation opens the door to the arbitrary.
4.750	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users will be the losers, with the employees, and the European competitiveness and growth will recede.
4.500	We often pontificate here about being the representatives of the citizens of Europe.	We often take pride here in representing the European citizens.
4.750	It is our job to continue to support Latvia with the integration of the Russian population.	It is of our duty to continue to support the Latvia on the question of the integration of the Russian population.
2.500	Thank you, Commissioner.	Thank you, Mister the Police chief.
5.000	Van Orden Report (A5-0241/2000)	Van Orden report (A5-0241/2000)
4.833	Amendment No 7 proposes certain changes in the references to paragraphs.	The amendment 7 proposes some changes in the references to the paragraphs.
5.000	Tunisia	Tunisia
4.333	The leaders have now been given a new chance and let us hope they seize it.	The leaders have today a new chance and let them therefore seize it.
4.750	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mister Preside over it, the relation Cashman can amount in some words: the power of the citizens on the bureaucracy.
3.000	Unfortunately, others separate on the basis of accumulated hatred.	D ' others part unfortunately in reason d ' a collected resentment.
4.500	It is our job to continue to support Latvia with the integration of the Russian population.	It is of our duty of continuing press Latvia on the question of the integration of the Russian population.
4.500	There must be a balance as a whole.	All must be in balance.
5.000	Tunisia	Tunisia
4.571	The standards are scarcely comparable, let alone transferable.	The standards are hardly comparable and even less transferable.
5.000	Van Orden Report (A5-0241/2000)	Report Van Orden (A5-0241 / 2000)
3.500	I am one of those Members who attends sittings quite faithfully.	I am part of the members of parliament who are rather honorably present.
4.167	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We maintain unanimity in the Council and therefore a latent inability to act.
5.000	The leaders have now been given a new chance and let us hope they seize it.	The leaders profit today from a new chance and thus let them seize it.
5.000	Thank you, Commissioner.	Thank you, Commissioner.
5.000	(Parliament adopted the legislative resolution)	(Parliament adopted the legislative resolution)
4.000	(Parliament adopted the legislative resolution)	(the Parliament adopts the legislative resolution)
4.750	It increases the power of the big countries at the expense of the small countries.	That was to increase the power of the large countries to the detriment of small.
3.500	I am one of those Members who attends sittings quite faithfully.	I am one of those Members who are quite properly here.
4.000	That provision could open the door wide to arbitrariness.	This regulation opens the door to the arbitrary.
4.750	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I already explained it in second reading, a crisis is located to the basis of this modification of directive.
4.750	Maij-Weggen report (A5-0323/2000)	Report/ratio Maij-Weggen (A5-0323/2000)
4.750	Let me remind you that our allies include fervent supporters of this tax.	I make a point of recalling you that among our allies, there are enthusiasts of this tax.
4.400	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users will be the losers, with employees, and European competitiveness and growth will diminish.
5.000	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained in second reading, a crisis is on the basis of this amendment of directive.
4.400	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users will be the losers, with employees, and European competitiveness and growth will diminish.
4.667	Mr President, I rise in defence of the workers in the industry.	Mr President, I would like to take the defence of workers in this sector.
4.500	Van Orden Report (A5-0241/2000)	Report/ratio Van Orden (A5-0241/2000)
4.500	Mr President, I rise in defence of the workers in the industry.	Mr President, I should like to take the defence of workers in this sector.
4.500	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users will be the losers, with the employees, and the competitiveness and the European growths will decline.
4.667	There must be a balance as a whole.	The whole must be in balance.
3.750	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We keep unanimity in the Council, and therefore a latent inability to act.
3.750	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users are the losers, with the employees, and the competitiveness and growth european régresseront.
5.000	The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed.
5.000	Thank you, Commissioner.	Thank you, Commissioner.
4.667	Mr President, I rise in defence of the workers in the industry.	Mr President, I would like to take the defence of workers in this sector.
4.250	The standards are scarcely comparable, let alone transferable.	The norms are scarcely comparable and again less transférables.
4.250	Selective aid, such as market support and a grass subsidy, are essential.	Specific aid as the support of the market or the premium to grass is essential.
5.000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment No 7 proposes certain changes in the references to the paragraphs.
4.750	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	Consumers will be the losers, with employees, and competitiveness and growth régresseront European.
5.000	(Parliament adopted the legislative resolution)	(Parliament adopted the legislative resolution)
4.500	The leaders have now been given a new chance and let us hope they seize it.	The leaders now have a new chance and let them therefore take.
3.000	The standards are scarcely comparable, let alone transferable.	The rules are comparable only good, let alone.
5.000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment 7 offers certain modifications in references to paragraphs.
5.000	Van Orden Report (A5-0241/2000)	Report Van Orden, A5-0241/2000 --
4.250	That provision could open the door wide to arbitrariness.	This regulation opens the door to arbitrariness.
4.000	The European Union has got to do something and do it quickly.	It is appropriate that the European Union is implied and that it does it quickly.
5.000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment No 7 is proposing certain changes in the references to paragraphs.
5.000	The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed.
4.429	The vote will take place today at 5.30 p.m.	The vote will take place at 5.30 p.m.
4.250	Then perhaps we could have avoided a catastrophe.	We would perhaps have been able to then avoid a disaster.
4.429	The vote will take place today at 5.30 p.m.	The vote will take place at 5.30 p.m.
4.250	We often pontificate here about being the representatives of the citizens of Europe.	Often we pride ourselves here to represent the people of Europe.
4.714	The standards are scarcely comparable, let alone transferable.	The standards are hardly comparable and still less transferable.
5.000	The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed.
5.000	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained at second reading, a crisis is at the root of this amendment of directive.
4.800	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained at second reading, a crisis is on the basis of this amendment of directive.
4.750	The European Union has got to do something and do it quickly.	It is appropriate that the European Union means and that it should do so quickly.
4.500	Unfortunately, others separate on the basis of accumulated hatred.	Other separate unfortunately a accumulated resentment.
4.250	Then perhaps we could have avoided a catastrophe.	We might have been able to prevent a disaster.
4.250	Let me remind you that our allies include fervent supporters of this tax.	I would like to remind you that one of our allies, there are strong this tax.
5.000	It is our job to continue to support Latvia with the integration of the Russian population.	It is of our duty of continue to support the country on the issue of the integration of the Russian people.
4.750	The vote will take place today at 5.30 p.m.	Vote will take place at 17 h 30.
5.000	Neither was there a qualified majority within this House to revert to Article 272.	There was no qualified majority in this Parliament to go back to Article 272.
4.000	Let me remind you that our allies include fervent supporters of this tax.	I hold you recall that our allies, there are enthusiastic about this tax.
3.833	We often pontificate here about being the representatives of the citizens of Europe.	We often take pride here to represent the citizens of Europe.
4.200	In Nigeria, Chevron has been accused by the All-Ijaw indigenous people of instigating violence against them and actually paying Nigerian soldiers to shoot protesters at the Warri naval base.	In Nigeria, the whole ijaw indigenous showed Chevron to encourage the violence against them and of up to pay Nigerian soldiers to shoot the demonstrators at the naval base from Warri.
4.250	I know that in France they have had whole herd slaughter and this does not seem to be the best way forward.	I know that in France, the principle of slaughter of whole herd has been implemented and that this is not the best way to combat this phenomenon.
4.800	Unfortunately, the ultimate objective of a European Constitution would be precisely the opposite, and so, of course, we cannot vote for it.	Unfortunately the final objective of a European Constitution would be exactly the opposite and obviously we cannot approve it.
4.800	The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.	The right for a government to draw aside its constitution arbitrarily is the definition characteristic of a tyranny.
4.000	The House had also fought, however, for the reduction of the funds available for innovative measures to be offset by means of resources from the flexibility instrument, a demand which is recorded in a declaration on the financial perspective in the Interinstitutional Agreement.	This Parliament has also fought for this reduction in the funds available for innovative actions should be compensated for by the use of the framework of flexibility, defined in a statement on the financial perspective.
4.800	The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.	The right for a government to dismiss arbitrarily its constitution is the definition of a characteristic tyranny.
3.750	After all, it is by no means certain that the proposed definition of equitable price is better than any other, because the various definitions that are currently in use in the Member States are all perfectly satisfactory.	Indeed, it is not absolutely certain that the definition of fair price which is better than another, because the definitions used in the Member States in all amply sufficient.
4.800	One could indeed wish for more and for improvement, but I honestly believe that we have made a good start.	They can in fact wish to more and better, but I think that it is a good start.  
4.000	It must genuinely be a centre for coordinating the network of national agencies which, in turn, must activate and coordinate a network of centres of excellence for food safety at the level of the individual regions.	It should be the real coordination of the network of national agencies which, in turn, will speed up and a network of centres of excellence of food at regional level.  
4.800	On my own behalf and on behalf of my colleagues in the Committee on Fisheries, I would ask you, Madam President, to send Parliament' s condolences to the families of the victims and to the local authorities in both Brittany and in Marín, Galicia, from where the majority of the victims came.	Madam President, I would ask you, on behalf of my colleagues in the Committee on Fisheries and in my own name, to send a message of condolence on the part of Parliament to the families of the victims and the local authorities of Brittany as Marín, city of Galicia, where originating from most of the victims.
4.800	One could indeed wish for more and for improvement, but I honestly believe that we have made a good start.	One can indeed wish more and better, but I believe very honestly that it is a good start.
4.200	He will stand trial on 8 January on charges of having attended a meeting of the Tunisian opposition in France, which he denies.	It passes in lawsuit next on January 8. It is reproached to him for having taken part in a meeting of Tunisian opponents in France, which besides it denies.
4.500	Thank you very much, Commissioner.	Thank you very much, Mr Commissioner.
4.000	A step in the right direction, for which the European Parliament has been striving for a long time now, is the creation of a provisional unit for judicial cooperation.	The creation of a provisional unit of judicial cooperation is a step in the right direction, not to which the European Parliament has been seeking for a long time already.
4.000	There has been a budget heading for the funding of mine clearance and prevention programmes for many years now.	A budget line finance programmes of mine clearance and prevention for years.
4.000	The other viewpoint illustrated by the rapporteur' s initial statement and shared by a number of members is to promote regulations and codes of conduct which are needed in order to establish among insurers ways of organising costs on a mutual basis providing everybody with guaranteed access to high-quality care and to counter the risk of discriminatory practices developing together with risk and client selection.	The other point of view, illustrated by the initial aim of the rapporteur and shared by many colleagues, is to promote the regulations and codes of conduct necessary to establish, between insurers, the forms of cost option guaranteeing all the supply of good quality of care and to counter the risks of discriminatory practices and a selection of risks and customers.
3.800	The only instance in which no tax is levied is when the supplier is in a non-EU country and the recipient is in a Member State of the EU.	The only case for which no tax is still perceived \"is an example of supply in the European Community from a third country.
5.000	Clearly, explanations are necessary for the increased incidence of BSE, not only in France but also in other Member States.	It is obviously necessary to determine the reasons for the increase in the incidence of BSE, not only in France but also in other Member States.  
4.800	Mr President, the Commission' s attitude to the right of access to documents may be seen from the internal handbook sent on 11 October to employees of the Commission to tell them how to deal with requests from MEPs for access to documents.	Mr President, we can see the Commission's position in terms of public access to documents by reading the internal manual which was given on 11 October, with the Commission officials in order to explain the way in which they were to deal with the requests from the Members with regard to access to documents.
4.800	I stress this point because the market cannot regulate everything, which is why competition is not completely unrestricted, nor should it be.	I insist on this point because the market cannot regulate all and that, accordingly, it does not have there nor cannot have there of competition without limits.
4.400	After all, it is by no means certain that the proposed definition of equitable price is better than any other, because the various definitions that are currently in use in the Member States are all perfectly satisfactory.	Indeed, it is not absolutely certain that the definition of fair price proposed is better than another, because the different definitions are currently used in the Member States are enough is enough.
3.500	Mr President, ladies and gentlemen, I should like to say a few words on the joint resolution, which will, of course, be passed.	Mr. President, my honourable Members, I would like to intervene on the joint resolution that obviously we will vote.
4.800	I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights into the eventual Treaty of Nice.	I also voted against a text which requires the incorporation of the Charter of the fundamental rights in the future treaty which will be adopted in Nice.
3.000	There has been a budget heading for the funding of mine clearance and prevention programmes for many years now.	A budget line finances clearance programmes and of prevention since years.
5.000	Fifty-seven senators, including 24 Republicans, have signed the letter.	Of those who signed the letter, 57 are senators, including 24 Republicans.
4.400	I find it rather odd that people are already trying to tie the Commission's hands in relation to the proposal for a directive, while at the same calling on it to present a Green Paper on the current situation with regard to optional and supplementary health insurance schemes.	I find it a little strange to now obliging the Commission to a motion for a resolution and to ask him at the same time to draw up a Green Paper on the current state of voluntary insurance and supplementary sickness insurance.
3.000	People with the same business affairs in common are peacefully bound to one another.	The economic activities Commons generating peaceful links between people.
3.400	Spain has done a magnificent job in turning round the difficult neighbourly relations which Europe and North Africa and Spain and Morocco have suffered during the course of history.	Spain has developed a remarkably positive the difficult that always existed between Europe and North Africa and between Spain and Morocco.  
3.600	A step in the right direction, for which the European Parliament has been striving for a long time now, is the creation of a provisional unit for judicial cooperation.	The creation of a Provisional Judicial Cooperation Unit is a step in the right direction, which the European Parliament is not a long time ago.
4.600	I would urge the French Presidency to do their utmost to overcome this divide, because it is extremely destructive.	I urge the French Presidency to do everything in its power to bridge this gap, particularly destructive.
4.400	Reiterating the calls made by the European Parliament in its resolution of 16 March 2000, what initiatives does the Presidency of the European Council propose to take with a view to playing a more active role so as to guarantee the full and complete application of the UN peace plan?	As the European Parliament, in its resolution of 16 March 2000, that they initiatives does the Council intend to take to play a more active role in order to ensure the full and entire application of the UN peace plan?  
4.200	On the contrary, the influence of the national democracies is being reduced by the further restriction of the right of veto and by the fact that the European Parliament is being given more power.	On the contrary, the power of the national restricting still further the right of veto and to give more power to the Parliament of the EU.  
